name,img,image_links
Amedeo Modigliani,https://en.wikipedia.org/wiki/Amedeo_Modigliani#/media/File:Amedeo_Modigliani_Photo.jpg,https://upload.wikimedia.org/wikipedia/commons/6/60/Amedeo_Modigliani_Photo.jpg
Vasiliy Kandinskiy,https://en.wikipedia.org/wiki/Wassily_Kandinsky#/media/File:Vassily_Kandinsky_by_Adolf_Elnain_2.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Vassily_Kandinsky_by_Adolf_Elnain_2.png/1200px-Vassily_Kandinsky_by_Adolf_Elnain_2.png
Diego Rivera,https://en.wikipedia.org/wiki/Diego_Rivera#/media/File:Diego_Rivera_-_Google_Art_Project_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Diego_Rivera_-_Google_Art_Project_%28cropped%29.jpg/1200px-Diego_Rivera_-_Google_Art_Project_%28cropped%29.jpg
Claude Monet,https://en.wikipedia.org/wiki/Claude_Monet#/media/File:Claude_Monet_1899_Nadar_crop.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Claude_Monet_1899_Nadar_crop.jpg/1200px-Claude_Monet_1899_Nadar_crop.jpg
Andrei Rublev,https://en.wikipedia.org/wiki/Andrei_Rublev#/media/File:1961_CPA_2553.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/1961_CPA_2553.jpg/1200px-1961_CPA_2553.jpg
Vincent van Gogh,https://en.wikipedia.org/wiki/Vincent_van_Gogh#/media/File:Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project_(454045).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project_%28454045%29.jpg/1200px-Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project_%28454045%29.jpg
Gustav Klimt,https://en.wikipedia.org/wiki/Gustav_Klimt#/media/File:Klimt.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d8/Klimt.jpg
Kazimir Malevich,https://en.wikipedia.org/wiki/Kazimir_Malevich#/media/File:Kazimir_Malevich_with_his_paintings_in_Leningrad_1924.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Kazimir_Malevich_with_his_paintings_in_Leningrad_1924.jpg/1200px-Kazimir_Malevich_with_his_paintings_in_Leningrad_1924.jpg
Pablo Picasso,"https://en.wikipedia.org/wiki/Pablo_Picasso#/media/File:Portrait_de_Picasso,_1908.jpg",https://upload.wikimedia.org/wikipedia/commons/b/b8/Portrait_de_Picasso%2C_1908.jpg
Peter Paul Rubens,https://en.wikipedia.org/wiki/Peter_Paul_Rubens#/media/File:Sir_Peter_Paul_Rubens_-_Portrait_of_the_Artist_-_Google_Art_Project.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Sir_Peter_Paul_Rubens_-_Portrait_of_the_Artist_-_Google_Art_Project.jpg/1200px-Sir_Peter_Paul_Rubens_-_Portrait_of_the_Artist_-_Google_Art_Project.jpg
Pierre-Auguste Renoir,"https://en.wikipedia.org/wiki/Pierre-Auguste_Renoir#/media/File:Pierre_Auguste_Renoir,_uncropped_image.jpg",https://upload.wikimedia.org/wikipedia/commons/6/67/Pierre_Auguste_Renoir%2C_uncropped_image.jpg
Francisco Goya,https://en.wikipedia.org/wiki/Francisco_Goya#/media/File:Vicente_L%C3%B3pez_Porta%C3%B1a_-_el_pintor_Francisco_de_Goya.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Vicente_L%C3%B3pez_Porta%C3%B1a_-_el_pintor_Francisco_de_Goya.jpg/1200px-Vicente_L%C3%B3pez_Porta%C3%B1a_-_el_pintor_Francisco_de_Goya.jpg
Frida Kahlo,"https://en.wikipedia.org/wiki/Frida_Kahlo#/media/File:Frida_Kahlo,_by_Guillermo_Kahlo.jpg",https://upload.wikimedia.org/wikipedia/commons/0/06/Frida_Kahlo%2C_by_Guillermo_Kahlo.jpg
El Greco,https://en.wikipedia.org/wiki/El_Greco#/media/File:El_Greco_-_Portrait_of_a_Man_-_WGA10554.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/El_Greco_-_Portrait_of_a_Man_-_WGA10554.jpg/1200px-El_Greco_-_Portrait_of_a_Man_-_WGA10554.jpg
Alfred Sisley,https://en.wikipedia.org/wiki/Alfred_Sisley#/media/File:Alfred_Sisley_photo_full.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bf/Alfred_Sisley_photo_full.jpg
Pieter Bruegel,"https://en.wikipedia.org/wiki/Pieter_Bruegel_the_Elder#/media/File:Pieter_Bruegel_the_Elder_-_The_Painter_and_the_Buyer,_ca._1566_-_Google_Art_Project.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Pieter_Bruegel_the_Elder_-_The_Painter_and_the_Buyer%2C_ca._1566_-_Google_Art_Project.jpg/1200px-Pieter_Bruegel_the_Elder_-_The_Painter_and_the_Buyer%2C_ca._1566_-_Google_Art_Project.jpg
Marc Chagall,https://en.wikipedia.org/wiki/Marc_Chagall#/media/File:Shagal_Choumoff.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Shagal_Choumoff.jpg/1200px-Shagal_Choumoff.jpg
Giotto di Bondone,https://en.wikipedia.org/wiki/Giotto_di_Bondone#/media/File:Giotto_-_Tableau_repr%C3%A9sentant_cinq_ma%C3%AEtres_de_la_Renaissance_florentine_(d%C3%A9but_XVIe_si%C3%A8cle_%3F).JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Giotto_-_Tableau_repr%C3%A9sentant_cinq_ma%C3%AEtres_de_la_Renaissance_florentine_%28d%C3%A9but_XVIe_si%C3%A8cle_%3F%29.JPG/1200px-Giotto_-_Tableau_repr%C3%A9sentant_cinq_ma%C3%AEtres_de_la_Renaissance_florentine_%28d%C3%A9but_XVIe_si%C3%A8cle_%3F%29.JPG
Sandro Botticelli,https://en.wikipedia.org/wiki/Sandro_Botticelli#/media/File:Sandro_Botticelli_083.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Sandro_Botticelli_083.jpg/1200px-Sandro_Botticelli_083.jpg
Caravaggio,"https://en.wikipedia.org/wiki/Caravaggio#/media/File:Bild-Ottavio_Leoni,_Caravaggio.jpg",https://upload.wikimedia.org/wikipedia/commons/7/73/Bild-Ottavio_Leoni%2C_Caravaggio.jpg
Leonardo da Vinci,https://en.wikipedia.org/wiki/Leonardo_da_Vinci#/media/File:Francesco_Melzi_-_Portrait_of_Leonardo.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Francesco_Melzi_-_Portrait_of_Leonardo.png/1200px-Francesco_Melzi_-_Portrait_of_Leonardo.png
Henri Matisse,"https://en.wikipedia.org/wiki/Henri_Matisse#/media/File:Henri_Matisse,_1913,_photograph_by_Alvin_Langdon_Coburn.jpg",https://upload.wikimedia.org/wikipedia/commons/7/76/Henri_Matisse%2C_1913%2C_photograph_by_Alvin_Langdon_Coburn.jpg
Jan van Eyck,https://en.wikipedia.org/wiki/Jan_van_Eyck#/media/File:Portrait_of_a_Man_by_Jan_van_Eyck-small.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Portrait_of_a_Man_by_Jan_van_Eyck-small.jpg/1200px-Portrait_of_a_Man_by_Jan_van_Eyck-small.jpg
Edgar Degas,https://en.wikipedia.org/wiki/Edgar_Degas#/media/File:Self-portrait_by_Edgar_Degas.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Self-portrait_by_Edgar_Degas.jpg/1200px-Self-portrait_by_Edgar_Degas.jpg
Rembrandt,https://en.wikipedia.org/wiki/Rembrandt#/media/File:Rembrandt_van_Rijn_-_Self-Portrait_-_Google_Art_Project.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Rembrandt_van_Rijn_-_Self-Portrait_-_Google_Art_Project.jpg/1200px-Rembrandt_van_Rijn_-_Self-Portrait_-_Google_Art_Project.jpg
Titian,https://en.wikipedia.org/wiki/Titian#/media/File:Tizian_090.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Tizian_090.jpg/1200px-Tizian_090.jpg
Henri de Toulouse-Lautrec,https://en.wikipedia.org/wiki/Henri_de_Toulouse-Lautrec#/media/File:Photolautrec.jpg,https://upload.wikimedia.org/wikipedia/commons/a/aa/Photolautrec.jpg
Gustave Courbet,"https://en.wikipedia.org/wiki/Gustave_Courbet#/media/File:Gustave_Courbet,_photograph_Atelier_Nadar,_c._1860s.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Gustave_Courbet%2C_photograph_Atelier_Nadar%2C_c._1860s.jpg/1200px-Gustave_Courbet%2C_photograph_Atelier_Nadar%2C_c._1860s.jpg
Camille Pissarro,https://en.wikipedia.org/wiki/Camille_Pissarro#/media/File:Pissarro-portrait.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Pissarro-portrait.jpg
William Turner,https://en.wikipedia.org/wiki/J._M._W._Turner#/media/File:Joseph_Mallord_William_Turner_auto-retrato.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Joseph_Mallord_William_Turner_auto-retrato.jpg
Edvard Munch,https://en.wikipedia.org/wiki/Edvard_Munch#/media/File:Portrett_av_Edvard_Munch_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/f/f5/Portrett_av_Edvard_Munch_%28cropped%29.jpg
Henri Rousseau,https://en.wikipedia.org/wiki/Henri_Rousseau#/media/File:Rousseau_Joyeux_Farceurs_Dornac_crop.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fc/Rousseau_Joyeux_Farceurs_Dornac_crop.jpg
Georges Seurat,https://en.wikipedia.org/wiki/Georges_Seurat#/media/File:Georges_Seurat_1888.jpg,https://upload.wikimedia.org/wikipedia/commons/7/76/Georges_Seurat_1888.jpg
Paul Klee,"https://en.wikipedia.org/wiki/Paul_Klee#/media/File:Paul_Klee_by_Hugo_Erfurth,_1927.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Paul_Klee_by_Hugo_Erfurth%2C_1927.jpg/1200px-Paul_Klee_by_Hugo_Erfurth%2C_1927.jpg
Piet Mondrian,https://en.wikipedia.org/wiki/Piet_Mondrian#/media/File:Piet_Mondriaan.jpg,https://upload.wikimedia.org/wikipedia/commons/8/83/Piet_Mondriaan.jpg
Andy Warhol,https://en.wikipedia.org/wiki/Andy_Warhol#/media/File:Andy_Warhol_at_the_Jewish_Museum_(by_Bernard_Gotfryd)_%E2%80%93_LOC.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Andy_Warhol_at_the_Jewish_Museum_%28by_Bernard_Gotfryd%29_%E2%80%93_LOC.jpg/1200px-Andy_Warhol_at_the_Jewish_Museum_%28by_Bernard_Gotfryd%29_%E2%80%93_LOC.jpg
Paul Gauguin,https://en.wikipedia.org/wiki/Paul_Gauguin#/media/File:Paul_Gauguin_1891.png,https://upload.wikimedia.org/wikipedia/commons/5/53/Paul_Gauguin_1891.png
Raphael,https://en.wikipedia.org/wiki/Raphael#/media/File:Raffaello_Sanzio.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Raffaello_Sanzio.jpg/1200px-Raffaello_Sanzio.jpg
Michelangelo,https://en.wikipedia.org/wiki/Michelangelo#/media/File:Michelangelo_Daniele_da_Volterra_(dettaglio).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Michelangelo_Daniele_da_Volterra_%28dettaglio%29.jpg/1200px-Michelangelo_Daniele_da_Volterra_%28dettaglio%29.jpg
Jackson Pollock,https://en.wikipedia.org/wiki/Jackson_Pollock#/media/File:Jackson_Pollock_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/1/1b/Jackson_Pollock_%28cropped%29.jpg
